id,reply_id,reply_content,reply_date
2864001,ㅇㅇ(175.197),300개는 넣어봄?,06.12 20:46:40
2864001,ㅇㅇ,일자체가 없음,06.12 21:15:52
2864000,밀우,아니 딴직업이더힘들다,06.12 20:40:14
2864000,ㅇㅇ(175.197),너 피셜 아니고?,06.12 20:46:10
2864000,밀우,@ㅇㅇ(175.197) 내가 좆기기사따고 비비다가 it넘어왓어,06.12 20:49:41
2864000,ㅇㅇ(175.197),아 그나마 이쪽이 나았어?아님 니 실력이 ㅈㄴ 뛰어난거아냐?,06.12 20:51:32
2864000,밀우,@ㅇㅇ(175.197) 글쎄 좆기는 걍 지원자수가 압도적으로 많아서 안고이면 취업이 힘들었거든 it는 고인물들은 죄다 서비스 회사가고 밑에 금융이나 대기업도 주절먹한다는 애들 널려서 한발짝 물러나면 취업할곳 많앗ㅈ,06.12 20:53:13
2863999,헬마스터,돈이 중요한것이 아니다.의미있는 일을 해라. 회사에 기여하고 돈이 아닌 진정한 개발귀가 됐다는 뿌듯함을 추구하라.돈은 그럼 알아서 들어오는 것.,06.12 20:33:01
2863999,프갤러1(122.128),사장님 열정페이는 나빠요,06.12 20:34:56
2863999,개멍청한유라,일? 너나해 한남 ㅠ 죽어 설교하지마  - dc App,06.12 20:36:46
2863999,ㅆㅇㅆ(124.216),나도..,06.12 20:34:43
2863999,발명도둑잡기,"이재명 기본소득 정책 포기했음 // ""도둑은 집을 떠나며 주인을 욕한다"" - 러시아 속담",06.12 21:29:47
2863998,ㅆㅇㅆ(124.216),냥덩이한테 관심받고싶어하는거봐 ㄷㄷ,06.12 20:36:06
2863996,ㅆㅇㅆ찡,노무현의 환생,06.12 20:24:28
2863996,헬마스터,흔들어라 이기야. 저 굴러들어온놈,06.12 20:25:25
2863996,아스카영원히사랑해,헬마님도 mc무현의 라임을 즐기시는군요,06.12 20:24:55
2863996,개멍청한유라,차도잘만들고 배도잘만들고 못하는게없는데!  - dc App,06.12 20:26:19
2863996,개멍청한유라,경제도 잘하고 문화도 잘하고~  - dc App,06.12 20:26:42
2863996,헬마스터,똥도 잘싸고 시말서도 잘쓰고 한녀한테 잘털리고 한남욕하다 정지도 잘 먹고 못하는게 없는데!,06.12 20:28:20
2863996,개멍청한유라,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋ  - dc App,06.12 20:29:48
2863996,개멍청한유라,야이씨발년아!°°°°°°!!!!!!!!!!!!!!  - dc App,06.12 20:29:58
2863994,아스카영원히사랑해,이쯤되면 하늘에 있는 노무현도 응원할 듯,06.12 20:18:52
2863994,ㅇㅇ,@아스카영원히사랑해 개발자 후배 마지막까지 잘해볼게요 슨배님,06.12 20:25:46
2863994,개멍청한유라,화이팅  - dc App,06.12 20:25:48
2863994,밀우,와 근데 6인너무 에매하다,06.12 20:50:38
2863994,ㅇㅇ,2년 경력 버틴다는 마음으로 여기라도 부디 되면 좋겠음..ㅋㅋ  매년 입사/퇴사 오가면서 6~8명 유지되는 분위기,06.12 21:03:54
2863993,개멍청한유라,ㅋㅋ 몸조심해라? ㅋ  - dc App,06.12 20:25:24
2863984,개멍청한유라,ㅆㅆㅅㅌㅊ  - dc App,06.12 20:28:33
2863983,익명의따당이,상관 없을듯,06.12 21:29:54
2863983,익명의따당이,내용증명 날라오면 까먹었다 하고 내면됨,06.12 21:30:04
2863980,헬마스터,어? 아! 어? 아! 아! 어? 어? 아!,06.12 19:03:54
2863980,ㅇㅇ(211.235),어아어아하게 만들어줘~,06.12 19:14:43
2863978,헬마스터,김부장 멍사원 얘기립니까?,06.12 19:02:46
2863978,ㅇㅇ,시말서는 왜 썼습니까,06.12 19:58:33
2863978,개멍청한유라,"결론은 또 저의 잘못, 온전한 저의 잘못입니다  - dc App",06.12 20:28:06
2863978,부드러운곰탱이,아무리 한남이 싫어도 그렇지 패치로 바쁠 때 런을 치냐,06.12 21:58:57
2863978,개멍청한유라,사실오늘 약속이 있었어요  - dc App,06.12 22:02:34
2863977,개멍청한유라,냥덩아 나는?  - dc App,06.12 18:53:18
2863977,♥냥덩이♥,진짜 너 볼때마다 가슴이 답답한데 그만 좀 해,06.12 18:57:48
2863977,개멍청한유라,너 왜그래?  - dc App,06.12 18:58:05
2863977,개멍청한유라,어떻게 나한테 이래...  - dc App,06.12 18:58:11
2863977,♥냥덩이♥,까불지마 넌 가해자야,06.12 19:10:04
2863977,개멍청한유라,너가 가해자야  - dc App,06.12 20:27:05
2863976,개멍청한유라,냥덩아 슬기는?  - dc App,06.12 18:51:54
